Comment,Designator,Footprint,LCSC
TPD4E05U06,U2,USON-10_2.5x1.0mm_P0.5mm,C138714
"SSM3J338R,LF",Q1,SOT-23-3,C146352
10n,"C14,C15,C6",C_0402_1005Metric,C15195
22p,"C3,C4",C_0402_1005Metric,C1555
1u,C7,C_0603_1608Metric,C15849
Bat,J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,C160403
470n,L2,L_Murata_DFE201610P,C161083
60R,FB1,L_0805_2012Metric,C18305
100k,R9,R_0402_1005Metric,C25741
10k,"R1,R2,R3,R5,R6,R7,R8",R_0402_1005Metric,C25744
470k,R4,R_0402_1005Metric,C25790
732k,R10,R_0402_1005Metric,C27016
PTS645,SW31,Panasonic_EVQPUL_EVQPUC,C285466
100n,"C18,C2,C5,C9",C_0402_1005Metric,C307331
2u2,L1,L_Murata_DFE201610P,C307746
32.768kHz,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346
SN74AHCT1G125,U5,SOT-353_SC-70-5,C350557
1u,"C10,C8",C_0402_1005Metric,C52923
BAV70,"D1,D10,D11,D12,D13,D14,D15,D2,D3,D4,D5,D6,D7,D8,D9",SOT-23-3,C68978
USB_C_Receptacle,J3,HRS_CX70M-24P1,C778726
5V,D16,D_SOD-523,C85708
VIK Keyboard,J5,VIK-Keyboard-Connector-Horizontal,C88360
TPS61023DRL,U4,SOT-563,C919459
10u,"C1,C11,C12,C13,C16,C17",C_0603_1608Metric,C96446
MDBT50Q-U1MV2,U1,Raytac_MDBT50Q-U1MV2,
CPG151101S11,SW26,MX-Choc-KS27-1U-Hotswap-Flippable,
nPM1300,U3,QFN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,
CPG151101S11,SW25,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW30,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW1,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW24,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW29,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW14,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW19,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW5,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW22,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW27,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW3,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW8,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW13,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW23,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW18,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW28,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW4,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW9,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW10,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW15,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW20,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW11,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW2,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW12,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW21,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW17,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW16,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW6,MX-Choc-KS27-1U-Hotswap-Flippable,
CPG151101S11,SW7,MX-Choc-KS27-1U-Hotswap-Flippable,
RotaryEncoder,SW32,EC10E_Flippable,
